BoxID,X,Y,Velocity,Acceleration,Type
8,1784,677,1.6450069908666043,,truck
8,1780,682,1.7651016967869018,,truck
8,1002,1115,58.63550214673701,,truck
8,1000,1116,5.860817690390992,,truck
8,1742,721,7.289444423273972,,truck

50,2099,879,0.8669948096730452,0,car

37,2554,312,13.108944122239592,0,car
37,2506,421,33.107867342974544,,car
37,3008,351,28.309920240085457,,car
37,2351,380,0.36000000000000004,,car
37,2500,432,47.00050586961804,,car
37,2500,438,11.29643058669419,,car
37,2376,548,10.248562045477405,,car
37,2256,734,0.07200000000000001,,car
37,2023,982,24.361548719241966,,car
37,2373,562,38.79223427440085,,car
37,2369,572,11.146055804633315,,car

35,2358,314,18.908055426193357,0,truck
35,2886,320,14.32962804820837,,car
35,2554,312,37.100196441528446,,car
35,2392,517,40.358039199148415,,car
35,2549,337,38.18498804504199,,car
35,2548,338,13.905136892530042,,car
35,3006,347,0.2276839915321233,,car
35,2381,546,45.98523380390709,,car
35,3077,460,50.115775719826985,,car
35,2252,738,50.109620633167836,,car
35,3069,452,27.224094034512884,,truck
35,2240,757,63.25854604715478,,car
35,2495,467,63.29492112326233,,car
35,3061,447,11.981674006581883,,car

38,2888,320,24.054897214496677,0,car
38,2505,422,8.923644098685246,,car
38,2502,428,11.492968284999312,,car
38,3003,347,12.190133715427407,,car
38,3085,472,36.72945760557866,,truck
38,3086,469,42.1910784882302,,car
38,2274,715,61.08044793548915,,car
38,2060,939,1.160965115754991,,car
38,2259,729,36.19652756826268,,car
38,2375,554,61.88465968234777,,car
38,3070,459,50.21916128331895,,car
38,2029,983,83.62228908610432,,car

30,2851,233,16.417420991130122,0,car
30,2885,318,22.23448132968251,,car
30,2614,267,35.356765462920954,,car
30,2404,275,17.228623624654407,,truck
30,2356,315,15.272318488035797,,truck
30,2546,341,2.0211363140570207,,car
30,2998,342,0.3054701294725885,,car
30,2542,344,46.44139532787533,,car
30,2542,346,13.752753906036418,,car
30,2498,445,33.12070434033673,,car
30,3067,453,0.2276839915321233,,truck
30,2889,309,38.01709089343896,,car
30,2891,309,23.472441713635163,,car
30,3065,450,30.265446436489253,,car
30,2493,462,0.07200000000000001,,car
30,2994,337,8.56890751496362,,car
30,2993,336,32.417995002775854,,car
30,2995,336,32.42311175689342,,car

34,2615,260,3.9658865339290785,0,car
34,2557,311,17.722679707087185,,car
34,2371,303,14.400719982000899,,truck
34,3090,476,13.73691319037869,,truck
34,2884,319,40.15747960218619,,car
34,2556,316,36.58988712745641,,car
34,2545,339,14.592572357195973,,car
34,2386,531,40.0809844190484,,car
34,2267,718,15.059019888425675,,car
34,3078,462,60.97392596840063,,car
34,2250,741,50.31558645191369,,car
34,2497,450,61.32709626258201,,car
34,2495,451,36.98621148482229,,car
34,2238,759,28.007259630317286,,car
34,2371,565,28.169764216265637,,car
34,3063,448,47.72274929213529,,car

29,2623,230,12.147533082893828,0,car
29,2979,230,16.418526121427586,,car
29,2853,234,16.29889812226581,,car
29,2553,314,35.089050599866624,,car
29,2851,234,191.99057526868341,,car
29,2616,268,32.397439898856206,,car
29,2357,317,0.10182337649086286,,truck
29,3082,463,13.519330160921434,,car
29,2543,344,53.17115909964725,,car
29,3002,343,0.48299068313995464,,car
29,2495,446,0.07200000000000001,,car
29,2559,309,12.675681283465597,,car
29,2563,311,12.389231453161251,,car
29,3064,450,11.17323086667415,,truck
29,2543,354,51.74721696864479,,car
29,2890,308,3.158166556722428,,car
29,2889,307,23.978702550388338,,car
29,2544,352,38.91471783271722,,car
29,2543,353,13.825687397015747,,car

31,2982,228,9.438867728705599,0,car
31,2615,266,41.96290704896409,,car
31,2566,276,15.562663011194454,,car
31,3006,351,23.166216782202483,,car
31,2614,270,43.688043215506916,,car
31,2551,313,17.353045611649847,,car
